"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","OsnmaMsgReceiverTest","","OsnmaMsgReceiverTest","","BuildTagMessageM0",""
"passed","Fri Dec 20 09:55:31 GMT 2024","Fri Dec 20 09:55:31 GMT 2024","0","","GnssCryptoTest","","GnssCryptoTest","","TestComputeSHA3_256",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","MagnitudeSquaredTest","","MagnitudeSquaredTest","","ArmadilloComplexImplementation",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GlonassGnavEphemerisTest","","GlonassGnavEphemerisTest","","ComputeGlonassTime2020",""
"passed","Fri Dec 20 09:55:46 GMT 2024","Fri Dec 20 09:55:48 GMT 2024","1737","","GalileoE1DllPllVemlTrackingInternalTest","","GalileoE1DllPllVemlTrackingInternalTest","","ConnectAndRun",""
"passed","Fri Dec 20 09:52:16 GMT 2024","Fri Dec 20 09:52:16 GMT 2024","0","","ConjugateTest","","ConjugateTest","","C11ComplexImplementation",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","ReedSolomonE1BTest","","ReedSolomonE1BTest","","DecodeErasureCorrectionCase4",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateFreqXlatingFIRFilter",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","2","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateNotchFilterLite",""
"failed","Fri Dec 20 09:55:48 GMT 2024","Fri Dec 20 09:55:48 GMT 2024","0","","GlonassL1CaDllPllCAidTrackingTest","","GlonassL1CaDllPllCAidTrackingTest","","ValidationOfResults",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GNSSBlockFactoryTest","","GNSSBlockFactoryTest","","InstantiateWrongSignalConditioner2",""
"passed","Fri Dec 20 09:53:21 GMT 2024","Fri Dec 20 09:53:21 GMT 2024","45","","GalileoE1PcpsTongAmbiguousAcquisitionGSoC2013Test","","GalileoE1PcpsTongAmbiguousAcquisitionGSoC2013Test","","Instantiate",""
"passed","Fri Dec 20 09:52:16 GMT 2024","Fri Dec 20 09:52:16 GMT 2024","0","","ConjugateTest","","ConjugateTest","","VolkComplexImplementationAlloc",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","InMemoryConfiguration","","InMemoryConfiguration","","RetrieveSizeT",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GlonassGnavNavigationMessageTest","","GlonassGnavNavigationMessageTest","","CRCTestSuccess",""
"passed","Fri Dec 20 09:55:48 GMT 2024","Fri Dec 20 09:55:48 GMT 2024","224","","BayesianEstimationPositivityTest","","BayesianEstimationPositivityTest","","BayesianPositivityTest",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","5","","GalileoE1Pcps8msAmbiguousAcquisitionGSoC2013Test","","GalileoE1Pcps8msAmbiguousAcquisitionGSoC2013Test","","ConnectAndRun",""
"passed","Fri Dec 20 09:52:23 GMT 2024","Fri Dec 20 09:52:23 GMT 2024","0","","InMemoryConfiguration","","InMemoryConfiguration","","NoStoringAndRetrieve",""
"passed","Fri Dec 20 09:55:45 GMT 2024","Fri Dec 20 09:55:45 GMT 2024","0","","GlonassGnavEphemerisTest","","GlonassGnavEphemerisTest","","ConvertGlonassT2GpsT5",""
